Author,Title,Description,Genre,Banned
"Donna, Gephart",The Paris Project,"Fans of the Nate series by Tim Federle and The Fourteenth Goldfish by Jennifer Holm will love Cleveland Rosebud Potts in this poignant and heartfelt novel from the award-winning author of Lily and Dunkin.  Cleveland Rosebud Potts has a plan. If she can check off the six items on her très important Paris Project List she will make it out of the small-minded and scorching town of Sassafras, Florida, to a rich and cultured life at The American School of Paris.  Unfortunately, everything seems to conspire against Cleveland reaching her goal.  Cleveland is ashamed of her father and angry that her mother and sister are never around because they have to work extra shifts to help out the family. Her Eiffel Tower tin has zero funds. And to top it all off, Cleveland’s best friend Jenna Finch has decided she’s too fancy for her and her neighbor Declan seems to be hiding something.  As Cleveland puts her talents to the test, she must learn how to forgive family for their faults, appreciate friends for exactly who they are, and bloom where she’s planted—even if that’s in a tiny town in central Florida that doesn’t even have a French restaurant. C’èst la vie!","Middle Grade, Realistic Fiction, Fiction, Young Adult, LGBT, Contemporary, Childrens",1
"Raymond, Chandler",The Lady in the Lake,"Derace Kingsley's wife ran away to Mexico to get a quickie divorce and marry a Casanova-wannabe named Chris Lavery. Or so the note she left her husband insisted. Trouble is, when Philip Marlowe asks Lavery about it, he denies everything and sends the private investigator packing with a flea lodged firmly in his ear. But when Marlowe next encounters Lavery, he's denying nothing—on account of the two bullet holes in his heart. Now Marlowe's on the trail of a killer, who leads him out of smoggy LA and all the way to a murky mountain lake.","Mystery, Fiction, Crime, Noir, Classics, Detective, Thriller",1
"Arundhati, Roy",The God of Small Things,"The year is 1969. In the state of Kerala, on the southernmost tip of India, a skyblue Plymouth with chrome tailfins is stranded on the highway amid a Marxist workers' demonstration. Inside the car sit two-egg twins Rahel and Esthappen, and so begins their tale. . . .  Armed only with the invincible innocence of children, they fashion a childhood for themselves in the shade of the wreck that is their family—their lonely, lovely mother, Ammu (who loves by night the man her children love by day), their blind grandmother, Mammachi (who plays Handel on her violin), their beloved uncle Chacko (Rhodes scholar, pickle baron, radical Marxist, bottom-pincher), their enemy, Baby Kochamma (ex-nun and incumbent grandaunt), and the ghost of an imperial entomologist's moth (with unusually dense dorsal tufts).  When their English cousin, Sophie Mol, and her mother, Margaret Kochamma, arrive on a Christmas visit, Esthappen and Rahel learn that Things Can Change in a Day. That lives can twist into new, ugly shapes, even cease forever, beside their river ""graygreen."" With fish in it. With the sky and trees in it. And at night, the broken yellow moon in it.  The brilliantly plotted story uncoils with an agonizing sense of foreboding and inevitability. Yet nothing prepares you for what lies at the heart of it.  takes on the Big Themes—Love. Madness. Hope. Infinite Joy. Here is a writer who dares to break the rules. To dislocate received rhythms and create the language she requires, a language that is at once classical and unprecedented. Arundhati Roy has given us a book that is anchored to anguish, but fueled by wit and magic.","Fiction, India, Historical Fiction, Classics, Literary Fiction, Contemporary, Indian Literature",1
"Ryan, La Sala",The Honeys,"From Ryan La Sala, the wildly popular author of Reverie, comes a twisted and tantalizing horror novel set amidst the bucolic splendor of a secluded summer retreat.  Mars has always been the lesser twin, the shadow to his sister Caroline's radiance. But when Caroline dies under horrific circumstances, Mars is propelled to learn all he can about his once-inseparable sister who'd grown tragically distant.  Mars's genderfluidity means he's often excluded from the traditions -- and expectations -- of his politically-connected family. This includes attendance at the prestigious Aspen Conservancy Summer Academy where his sister poured so much of her time. But with his grief still fresh, he insists on attending in her place.  What Mars finds is a bucolic fairytale not meant for him. Folksy charm and sun-drenched festivities camouflage old-fashioned gender roles and a toxic preparatory rigor. Mars seeks out his sister's old friends: a group of girls dubbed the Honeys, named for the beehives they maintain behind their cabin. They are beautiful and terrifying -- and Mars is certain they're connected to Caroline's death.  But the longer he stays at Aspen, the more the sweet mountain breezes give way to hints of decay. Mars’s memories begin to falter, bleached beneath the relentless summer sun. Something is hunting him in broad daylight, toying with his mind. If Mars can't find it soon, it will eat him alive.","Horror, Young Adult, LGBT, Mystery, Queer, Thriller, Audiobook",1
"Nalo, Hopkinson",Skin Folk: Stories,"In Skin Folk, with works ranging from science fiction to Caribbean folklore, passionate love to chilling horror, Nalo Hopkinson is at her award-winning best, spinning tales like “Precious,” in which the narrator spews valuable coins and gems from her mouth whenever she attempts to talk or sing. In “A Habit of Waste,” a self-conscious woman undergoes elective surgery to alter her appearance; days later she’s shocked to see her former body climbing onto a public bus. In “The Glass Bottle Trick,” the young protagonist ignores her intuition regarding her new husband’s superstitions—to horrifying consequences.  Hopkinson’s unique pacing and vibrant dialogue sets a steady beat for stories that illustrate why she received the John W. Campbell Award for Best New Writer. Entertaining, challenging, and alluring, Skin Folk is not to be missed.","Short Stories, Fantasy, Horror, Fiction, Science Fiction, Queer, Speculative Fiction",1
"David, Levithan",Take Me With You When You Go,"From the New York Times bestselling authors of All the Bright Places and Every Day comes a story of hope, family, and finding your home in the people who matter the most.  Subject: You. Missing.  Ezra Ahern wakes up one day to find his older sister, Bea, gone. No note, no sign, nothing but an email address hidden somewhere only he would find it. Ezra never expected to be left behind with their abusive stepfather and their neglectful mother - how is he supposed to navigate life without Bea?  already knew she needed to get as far away from home as possible. But a message in her inbox changes everything, and she finds herself alone in a new city - without Ez, without a real plan - chasing someone who might not even want to be found.  As things unravel at home for Ezra, Bea confronts secrets about their past that will forever change the way they think about their family. Together and apart, broken by abuse but connected by love, this brother and sister must learn to trust themselves before they can find a way back to each other.","Young Adult, Contemporary, Fiction, LGBT, Romance, Realistic Fiction, Audiobook",1
"Elena, Poniatowska",Tinisima,"For this fictionalized account of the life of Tina Modotti (1896-1942), Elena Poniatowska devoted ten years of research to fully understand the woman who was so caught up in the social and political turbulence of the pre-World War II decades. At different times in her life, Modotti was a silent screen actress, a model for Diego Rivera's murals, and a lover of photographer Edward Weston. She was also a champion for the Mexican people who lovingly referred to her as Tinisima. In 1929, Modotti was accused of the murder of Julio Antonio Mella, her Cuban lover. She fled to the U.S.S.R. to escape the Mexican press and then to Europe, where she became a Soviet secret agent and a nurse under an assumed name, returning to Mexico to meet an early death at the age of forty-five. ""Poniatowska has made an art form of blending journalism and fiction. She tells this novel in an urgent present tense, segueing among short, vivid scenes with cinematic virtuosity. Ten years of research and a thorough knowledge of the currents of history contribute to this portrait, but equally important is Poniatowska's intuitive appreciation of a woman shaped and destroyed by her tumultuous times.""-- Publishers Weekly ""Poniatowska's profoundly moving evocation of her heroine's boundless soul flows like blood through the carefully erected factual structure of the real Modotti's astonishing life story. . . . A tour de force, Tinisima is a work to treasure.""-- Booklist","Fiction, Historical Fiction, Spanish Literature, Latin American, Contemporary, 20th Century, Womens",1
"Daniella, Brodsky",One Trick Pony,"MEET THE REGULARS at the One Trick Pony, Brooklyn's finest  Jesse the Player - gorgeous, charming, and oh-so-irresistible, he goes through girls quicker than you can say, ""Check, please!""  Abigail the Poet - quiet and beautiful, with a heart full of pain, she's scared that she won't recover from the loss of her mother.  Randall the MusicianÑyour typical procrastinator and Ÿber-sensitive emo guitarist, he can't find the courage to tell Abigail he loves her.  Kate the Know-It-All - stunning, overconfident, and a well-meaning buttinsky, she has everything figured out, or so she thinks.  When their favorite hangout closes, these four friends are more adrift than ever before. A mysterious young Frenchwoman named Caroline Deneuve reopens the doors of the One Trick Pony. And their lives will never be the same.",Young Adult,1
"Laurie Halse, Anderson",Speak,"The first ten lies they tell you in high school.  ""Speak up for yourself—we want to know what you have to say.""  From the first moment of her freshman year at Merryweather High, Melinda knows this is a big fat lie, part of the nonsense of high school. She is friendless, outcast, because she busted an end-of-summer party by calling the cops, so now nobody will talk to her, let alone listen to her. As time passes, she becomes increasingly isolated and practically stops talking altogether. Only her art class offers any solace, and it is through her work on an art project that she is finally able to face what really happened at that terrible party: she was raped by an upperclassman, a guy who still attends Merryweather and is still a threat to her. Her healing process has just begun when she has another violent encounter with him. But this time Melinda fights back, refuses to be silent, and thereby achieves a measure of vindication.  In Laurie Halse Anderson's powerful novel, an utterly believable heroine with a bitterly ironic voice delivers a blow to the hypocritical world of high school. She speaks for many a disenfranchised teenager while demonstrating the importance of speaking up for oneself.  was a 1999 National Book Award Finalist for Young People's Literature.","Young Adult, Fiction, Contemporary, Realistic Fiction, Mental Health, Coming Of Age, Teen",1
"Melissa, Kantor",Confessions of a Not It Girl,"Jan Miller is a senior in high school who’s convinced she is destined to lead the world’s least fabulous life. Her college application deadlines are looming and her French homework is taunting her. And she never seems to say the right thing around guys, unlike her best It Girl friend who knows the moves and lines to catch an older, adorable, sophisticated boyfriend. But Jan’s about to learn that in life and romance, being a Not It Girl has some major rewards.","Young Adult, Romance, Contemporary, Fiction, Chick Lit, Teen, Realistic Fiction",1
"Anna, Todd",After (AT),"Tessa is a good girl with a sweet, reliable boyfriend back home. She’s got direction, ambition, and a mother who’s intent on keeping her that way.  But she’s barely moved into her freshman dorm when she runs into Hardin. With his tousled brown hair, cocky British accent, tattoos, and lip ring, Hardin is cute and different from what she’s used to.  But he’s also rude—to the point of cruelty, even. For all his attitude, Tessa should hate Hardin. And she does—until she finds herself alone with him in his room. Something about his dark mood grabs her, and when they kiss it ignites within her a passion she’s never known before.  He’ll call her beautiful, then insist he isn't the one for her and disappear again and again. Despite the reckless way he treats her, Tessa is compelled to dig deeper and find the real Hardin beneath all his lies. He pushes her away again and again, yet every time she pushes back, he only pulls her in deeper.  Tessa already has the perfect boyfriend. So why is she trying so hard to overcome her own hurt pride and Hardin’s prejudice about nice girls like her?  Unless…could this be ?  Now newly revised and expanded, Anna Todd’s After fanfiction racked up 1 billion reads online and captivated readers across the globe. Experience the Internet’s most talked-about book for yourself!  There was the time before Tessa met Hardin, and then there’s everything ... Life will never be the same.","New Adult, Contemporary, Young Adult, Fiction, College, Contemporary Romance, Enemies To Lovers",1
"Andrea, Robertson",Wolfsbane,"The thrilling second book in the internationally bestselling Nightshade series!  When Calla Tor wakes up in the lair of the Searchers, her sworn enemies, she's certain her days are numbered. But then the Searchers make her an offer, one that gives her the chance to destroy her former masters and save the pack - and the man - she left behind. Is Ren worth the price of her freedom? And will Shay stand by her side no matter what? Now in control of her own destiny, Calla must decide which battles are worth fighting and how many trials true love can endure and still survive.  Calla's story continues in BLOODROSE . *formerly published under Andrea Cremer*","Young Adult, Fantasy, Paranormal, Werewolves, Romance, Paranormal Romance, Supernatural",1
"Brittany, Cavallaro",A Study in Charlotte,"The last thing Jamie Watson wants is a rugby scholarship to Sherringford, a Connecticut prep school just an hour away from his estranged father. But that’s not the only complication: Sherringford is also home to Charlotte Holmes, the famous detective’s great-great-great-granddaughter, who has inherited not only Sherlock’s genius but also his volatile temperament. From everything Jamie has heard about Charlotte, it seems safer to admire her from afar.  From the moment they meet, there’s a tense energy between them, and they seem more destined to be rivals than anything else. But when a Sherringford student dies under suspicious circumstances, ripped straight from the most terrifying of the Sherlock Holmes stories, Jamie can no longer afford to keep his distance. Jamie and Charlotte are being framed for murder, and only Charlotte can clear their names. But danger is mounting and nowhere is safe—and the only people they can trust are each other.","Mystery, Young Adult, Contemporary, Fiction, Retellings, Mystery Thriller, Audiobook",1
"Nancy, Crocker",Billie Standish Was Here,"CAN ONE UNLIKELY FRIENDSHIP SAVE A LIFE?  Billie Standish has pretty much no one. Her parents are too caught up in their own lives, and the only two girls in town her age want nothing to do with her. When it looks like a nearby levee might break, and Billie's elderly neighbor, Miss Lydia, is the only other person besides her family to stick around, a friendship is born out of circumstance. What happens during that time, in that empty town, is a tragedy that Billie can't bear alone. Can the love of one woman nearing the end of her life save the life of a young woman just at the beginning of living hers?","Young Adult, Fiction, Historical Fiction, Realistic Fiction, Coming Of Age, Contemporary, Historical",1
"Caroline B., Cooney",The Face on the Milk Carton,"No one ever really paid close attention to the faces of the missing children on the milk cartons. But as Janie Johnson glanced at the face of the ordinary little girl with her hair in tight pigtails, wearing a dress with a narrow white collar--a three-year-old who had been kidnapped twelve years before from a shopping mall in New Jersey--she felt overcome with shock. She recognized that little girl--it was she. How could it possibly be true?Janie can't believe that her loving parents kidnapped her, but as she begins to piece things together, nothing makes sense. Something is terribly wrong. Are Mr. and Mrs. Johnson really Janie's parents? And if not, who is Janie Johnson, and what really happened?","Young Adult, Mystery, Fiction, Childrens, Realistic Fiction, Middle Grade, Teen",1
"George R. R., Martin",The Official a Game of Thrones Coloring Book: An Adult Coloring Book,"The perfect gift for fans of George R. R. Martin’s A Song of Ice and Fire and HBO’s Game of Thrones, this one-of-a-kind coloring book features forty-five exclusive illustrations!   ALL MEN MUST DRAW   In a world where weddings are red, fire is green, and debts are paid in gold, countless images leap off the page thanks to the eye-popping intricacy of the vivid settings and details. Now, for the first time, fans of this blockbuster saga can fill in the blanks and marvel as this meticulously imagined universe comes to life, one sword, sigil, and castle at a time. With dozens of stunning original black-and-white illustrations from world-renowned illustrators Yvonne Gilbert, John Howe, Tomislav Tomić, Adam Stower, and Levi Pinfold, this unique collector’s item expands the reach of an international phenomenon with flying colors.","Colouring Books, Fantasy, Colouring, Art, High Fantasy, Reference, Adult Colouring Books",1
"Ian, McEwan",Amsterdam,"BOOKER PRIZE WINNER • NATIONAL BESTSELLER • A sharp contemporary morality tale, cleverly disguised as a comic novel, Amsterdam is ""a dark tour de force, perfectly fashioned"" ( The New York Times ) f rom the bestselling author of Atonement.  On a chilly February day, two old friends meet in the throng outside a London crematorium to pay their last respects to Molly Lane. Both Clive Linley and Vernon Halliday had been Molly's lovers in the days before they reached their current Clive is Britain's most successful modern composer, and Vernon is a newspaper editor. Gorgeous, feisty Molly had other lovers, too, notably Julian Garmony, Foreign Secretary, a notorious right-winger tipped to be the next prime minister. In the days that follow Molly's funeral, Clive and Vernon will make a pact with consequences that neither could have foreseen…  Don’t miss Ian McEwan’s new novel, Lessons .","Fiction, Contemporary, Literary Fiction, British Literature, Literature, Novels, 20th Century",1
"Stephanie, Tolan",Surviving the Applewhites,"The side-splittingly funny Newbery Honor Book about a rebellious boy who is sent to a home-schooling program run by one family—the creative, kooky, loud, and loving Applewhites!  Jake Semple is notorious. Rumor has it he managed to get kicked out of every school in Rhode Island, and actually burned the last one down to the ground.  Only one place will take him now, and that's a home school run by the Applewhites, a chaotic and hilarious family of poet Lucille, theater director Randolph, dancer Cordelia, and dreamy Destiny. The only one who doesn't fit the Applewhite mold is E.D.—a smart, sensible girl who immediately clashes with the defiant Jake.  Jake thinks surviving this new school will be a breeze . . . but is he really as tough or as bad as he seems?","Young Adult, Fiction, Realistic Fiction, Middle Grade, Childrens, Humor, Contemporary",1
"R. J., Anderson",Quicksilver,"Back in her hometown, Tori Beaugrand had everything a teenaged girl could want—popularity, money, beauty. But she also had a secret. A secret that could change her life in an instant, or destroy it.  Now she’s left everything from her old life behind, including her real name and Alison, the one friend who truly understood her. She can’t escape who and what she is. But if she wants to have anything like a normal life, she has to blend in and hide her unusual... talents.  Plans change when the enigmatic Sebastian Faraday reappears and gives Tori some bad news: she hasn’t escaped her past. In fact, she’s attracted new interest in the form of an obsessed ex-cop turned investigator for a genetics lab.  She has one last shot at getting her enemies off her trail and winning the security and independence she’s always longed for. But saving herself will take every ounce of Tori’s incredible electronics and engineering skills—and even then, she may need to sacrifice more than she could possibly imagine if she wants to be free.","Young Adult, Science Fiction, Fantasy, Paranormal, Aliens, Fiction, LGBT",1
"Jennifer, Mathieu",Moxie,"Moxie girls fight back!  Vivian Carter is fed up. Fed up with her small-town Texas high school that thinks the football team can do no wrong. Fed up with sexist dress codes and hallway harassment. But most of all, Viv Carter is fed up with always following the rules.  Viv’s mom was a punk rock Riot Grrrl in the ’90s, so now Viv takes a page from her mother’s past and creates a feminist zine that she distributes anonymously to her classmates. She’s just blowing off steam, but other girls respond. Pretty soon Viv is forging friendships with other young women across the divides of cliques and popularity rankings, and she realizes that what she has started is nothing short of a girl revolution.","Young Adult, Contemporary, Feminism, Fiction, Realistic Fiction, Romance, Young Adult Contemporary",1
"Matthew, Baker",If You Find This,"Mixing mystery and adventure in the tradition of Louis Sachar, Avi, and E.L. Konigsburg, If You Find This is the story of unlikely friendships, unexpected bravery and eleven-year-old Nicholas Funes's quest to prove his grandfather's treasure is real.  Nicholas is a math and music genius with no friends and a huge problem: His father has lost his job, and they'll have to sell their house, which holds the only memory Nicholas has of his younger brother. Just in time, Nicholas's senile grandfather arrives, filled with tales of priceless treasure he has hidden somewhere in town--but where?  With the help of misfit classmates, two grandfathers, a ghosthouse, hidden messages, séances, and an uncanny mind for numbers, Nicholas stages a nursing home breakout, tangles with high schoolers in smugglers' tunnels, and gets swept up in a duel with the biggest bullies in the neighborhood. Will it be enough to find the treasure and save his house?","Mystery, Middle Grade, Adventure, Childrens, Fiction, Realistic Fiction, Juvenile",1
"Karen, Hattrup",Our Year in Love and Parties,"Four nights of the highest highs and the lowest lows. Three seconds to get lost in a good party. Two friends with the potential to be something more. One year that will change everything. Tucker knows that relationships take work. Some are easier than others though. With his best friend, Bobby, and his mom, everything is simple and consistent. His dad, on the other hand, who is sick, still treats him like a nine-year-old. Then Erika Green comes back into his life, stirring up old feelings. A small part of him knows he shouldn’t get too attached during senior year. But a bigger part doesn’t want her to disappear again.  Erika from before the video liked to shock people with her words and bright- pink hair. Lately, she’s been holing herself up in small, liberal college life and hoping that the past will stay where it belongs—in a dumpster fire. But then she reconnected with Tucker Campanelli. With him, she doesn’t have to pretend to be okay. And she can’t deny the unexplainable connection between them. And though it’s complicated, she really wants to hold onto that feeling for as long as possible.","Romance, Young Adult, Contemporary, New Adult, Fiction, College, Audiobook",1
"Julie, Cross",Tempest,"The year is 2009. Nineteen-year-old Jackson Meyer is a normal guy… he's in college, has a girlfriend… and he can travel back through time. But it's not like the movies — nothing changes in the present after his jumps, there's no space-time continuum issues or broken flux capacitors — it's just harmless fun.  That is… until the day strangers burst in on Jackson and his girlfriend, Holly, and during a struggle with Jackson, Holly is fatally shot. In his panic, Jackson jumps back two years to 2007, but this is not like his previous time jumps. Now he's stuck in 2007 and can't get back to the future.  Desperate to somehow return to 2009 to save Holly but unable to return to his rightful year, Jackson settles into 2007 and learns what he can about his abilities.  But it's not long before the people who shot Holly in 2009 come looking for Jackson in the past, and these ""Enemies of Time"" will stop at nothing to recruit this powerful young time-traveler. Recruit… or kill him.  Piecing together the clues about his father, the Enemies of Time, and himself, Jackson must decide how far he's willing to go to save Holly… and possibly the entire world.","Young Adult, Time Travel, Fantasy, Romance, Science Fiction, Paranormal, Fiction",1
"Melissa, de la Cruz",Keys to the Repository,"Lavish parties.Passionate meetings in the night. Bone-chilling murders. Midterms. The day-to-day life of Schuyler Van Alen and her Blue Bloods friends (and enemies) is never boring. But there's oh-so-much more to know about these beautiful and powerful teens.Below the streets of Manhattan, within the walls of the Repository, exists a wealth of revealing information about the vampire elite that dates back before the Mayflower. Ina series of short stories, journal entries, and never-before-seen letters, New York Times bestselling author Melissa de la Cruz gives her hungry fansthe keys to the Repository and aneven more in-depth look into the secret world of the Blue Bloods. Won't you come inside?  Format: Hardcover Publication Date: 6/29/2010 Pages: 240 Reading Level: Age 18 and Up","Young Adult, Vampires, Fantasy, Paranormal, Angels, Romance, Fiction",1
"Kate, Bassett",Words and Their Meanings,"Anna O’Mally doesn’t believe in the five stages of grief. Her way of dealing with death equates to daily bouts of coffin yoga and fake-tattooing Patti Smith quotes onto her arms. Once a talented writer, Anna no longer believes words matter, until shocking discoveries– in the form of origami cranes– force her to redefine family and love.  As Anna goes in search of the truth, she discovers that while every story, every human being, has a last line, it might still be possible to find the words for a new beginning.","Young Adult, Contemporary, Realistic Fiction, Fiction, Romance, Family, Death",1
"Paolo, Bacigalupi",Drowned Cities,"Soldier boys emerged from the darkness. Guns gleamed dully. Bullet bandoliers and scars draped their bare chests. Ugly brands scored their faces. She knew why these soldier boys had come. She knew what they sought, and she knew, too, that if they found it, her best friend would surely die.  In a dark future America where violence, terror, and grief touch everyone, young refugees Mahlia and Mouse have managed to leave behind the war-torn lands of the Drowned Cities by escaping into the jungle outskirts. But when they discover a wounded half-man--a bioengineered war beast named Tool--who is being hunted by a vengeful band of soldiers, their fragile existence quickly collapses. One is taken prisoner by merciless soldier boys, and the other is faced with an impossible decision: Risk everything to save a friend, or flee to a place where freedom might finally be possible.  This thrilling companion to Paolo Bacigalupi's highly acclaimed is a haunting and powerful story of loyalty, survival, and heart-pounding adventure.","Young Adult, Science Fiction, Dystopia, Fiction, Fantasy, Post Apocalyptic, Adventure",1
"James Ramsey, Ullman",Banner in the Sky,"The Citadel  It stands unconquered, the last great summit of the Alps. Only one man has ever dared to approach the top, and that man died in his pursuit. He was Josef Matt, Rudi Matt's father.  At sixteen, Rudi is determined to pay tribute to the man he never knew, and complete the quest that claimed his father's life. And so, taking his father's red shirt as a flag, he heads off to face the earth's most challenging peak. But before Rudi can reach the top, he must pass through the forbidden Fortress, the gaping chasm in the high reaches of the Citadel where his father met his end. Rudi has followed Josef's footsteps as far as they will take him. Now he must search deep within himself to find the strength for the final ascent to the summit—to plant his banner in the sky.  His father died while trying to climb Switzerland's greatest mountain—the Citadel—and young Rudi knows he must make the assault himself.","Fiction, Young Adult, Historical Fiction, Adventure, Childrens, Classics, School",1
"Jon, Stewart",Earth (the book) A Visitors Guide to the Human Race,"The eagerly awaited new book from the Emmy-winning, Oscar-hosting, Daily Show- anchoring Jon Stewart--the man behind the megaseller America (The Book) .  Where do we come from? Who created us? Why are we here? These questions have puzzled us since the dawn of time, but when it became apparent to Jon Stewart and the writers of The Daily Show that the world was about to end, they embarked on a massive mission to write a book that summed up the human race: What we looked like; what we accomplished; our achievements in society, government, religion, science and culture -- all in a tome of approximately 256 pages with lots of color photos, graphs and charts.  After two weeks of hard work, they had their book. Earth (The Book) is the definitive guide to our species. With their trademark wit, irreverence, and intelligence, Stewart and his team will posthumously answer all of life's most hard-hitting questions, completely unburdened by objectivity, journalistic integrity, or even accuracy.","Humor, Nonfiction, Comedy, Audiobook, Politics, History, Science",1
"Donna Jo, Napoli",Skin (DJN),"Her lips are white. Sixteen-year-old Sep stares into the bathroom mirror on the first day of school. It's not some weird lipstick (she never wears lipstick), she didn't bump her lips or chew on ice. Her lips are just white. In a panic, she digs up an old lipstick and smears it on her colorless lips. But soon, more and more white spots begin to bloom, spreading their chalky tendrils across her olive brown skin. Does she have a disease? Is she turning into some kind of freak? Sep is usually the one who knows all the answers. With a quicksilver mind and a supple body, she's happiest when she's delving into the mysteries of animal biology or giving herself over to sweet, hot moves in Jazz Dance Club. Unlike her best friend, Devon, she's never been in a rush to get a boyfriend. But as the white blotches spread, her dating days, like the endangered species she studies, seem numbered. So when Josh, a boy she's always liked, makes a flirty advance, she wonders: why not grab pleasure while she can? Frank, funny, and full of passion, this compelling novel tells the empowering story of a strong, gifted teen who, as her life spins out of control, desperately tries to prove to the world, and herself, that she is deeper than skin.","Young Adult, Fiction, Realistic Fiction, Contemporary, Romance, Teen, Illness",1
"Kelley, Armstrong",Aftermath,"Three years after losing her brother Luka in a school shooting, Skye Gilchrist is moving home. But there's no sympathy for Skye and her family because Luka wasn't a victim; he was a shooter.  Jesse Mandal knows all too well that the scars of the past don't heal easily. The shooting cost Jesse his brother and his best friend--Skye.  Ripped apart by tragedy, Jesse and Skye can't resist reopening the mysteries of their past. But old wounds hide darker secrets. And the closer Skye and Jesse get to the truth of what happened that day, the closer they get to a new killer.","Young Adult, Mystery, Thriller, Contemporary, Fiction, Romance, Mystery Thriller",1
"C.L., Herman",The Drowning Summer,"A gorgeously atmospheric contemporary fantasy by the author of The Devouring Gray and The Deck of Omens.  Six years ago, three Long Island teenagers were murdered—their drowned bodies discovered with sand dollars placed over their eyes. The mystery of the drowning summer was never solved, but as far as the town’s concerned, Evelyn Mackenzie’s father did it. His charges were dropped only because Evelyn summoned a ghost to clear his name. She swore never to call a spirit again. She lied.  For generations, the family of Mina Zanetti, a former friend of Evelyn, has worked as mediums, using the ocean’s power to guide the dead to their final resting place. But as sea levels rise, the ghosts grow more dangerous and Mina has been shut out of the family business. When Evelyn performs another summoning that goes horribly wrong, the two girls must navigate their growing attraction to each other while solving the mystery of who was really behind the drowning summer…before the line between life and death dissolves for good.  Beautifully written and just the right amount witchy, is a deliciously eerie story perfect for reading under a full moon.","Fantasy, Young Adult, LGBT, Mystery, Lesbian, Paranormal, Thriller",1
"Sinclair, Lewis",Babbitt,Babbitt is a satirical novel about American culture and society that critiques the vacuity of middle class life and the social pressure toward conformity. The controversy provoked by Babbitt was influential in the decision to award the Nobel Prize in Literature to Lewis in 1930.,"Fiction, Classics, Literature, Novels, American, 20th Century, Literary Fiction",1
"On-su, Kim",The Plotters,"From the novelist dubbed ""the Korean Henning Mankell"" (The Guardian) comes a fantastical crime novel set in an alternate Seoul where assassination guilds compete for market dominance. Perfect for fans of Han Kang and Patrick deWitt.  Behind every assassination, there is an anonymous mastermind--a plotter--working in the shadows. Plotters quietly dictate the moves of the city's most dangerous criminals, but their existence is little more than legend. Just who are the plotters? And more important, what do they want? Reseng is an assassin. Raised by a cantankerous killer named Old Raccoon in the crime headquarters ""The Library,"" Reseng never questioned anything: where to go, who to kill, or why his home was filled with books that no one ever read. But one day, Reseng steps out of line on a job, toppling a set of carefully calibrated plans. And when he uncovers an extraordinary scheme set into motion by an eccentric trio of young women--a convenience store clerk, her wheelchair-bound sister, and a cross-eyed librarian--Reseng will have to decide if he will remain a pawn or finally take control of the plot. Crackling with action and filled with unforgettable characters, The Plotters is a deeply entertaining thriller that soars with the soul, wit, and lyricism of real literary craft.","Fiction, Thriller, Mystery, Crime, Mystery Thriller, Asia, Audiobook",1
"Jodi Lynn, Anderson",Midnight at the Electric,"Divided by time. Ignited by a spark.  Kansas, 2065. Adri has secured a slot as a Colonist—one of the lucky few handpicked to live on Mars. But weeks before launch, she discovers the journal of a girl who lived in her house over a hundred years ago, and is immediately drawn into the mystery surrounding her fate. While Adri knows she must focus on the mission ahead, she becomes captivated by a life that’s been lost in time…and how it might be inextricably tied to her own.  Amidst the fear and uncertainty of the Dust Bowl, Catherine fantasizes about her family’s farmhand, and longs for the immortality promised by a professor at a traveling show called the Electric. But as her family’s situation becomes more dire—and the suffocating dust threatens her sister’s life—Catherine must find the courage to sacrifice everything she loves in order to save the one person she loves most.  In the recovery following the First World War, Lenore struggles with her grief for her brother, a fallen British soldier, and plans to sail to America in pursuit of a childhood friend. But even if she makes it that far, will her friend be the person she remembers, and the one who can bring her back to herself?  While their stories spans thousands of miles and multiple generations, Lenore, Catherine, and Adri’s fates are entwined.","Historical Fiction, Young Adult, Science Fiction, Historical, Fiction, Audiobook, Fantasy",1
"Thomas, Hardy",Jude the Obscure,"Jude Fawley's hopes of a university education are lost when he is trapped into marrying the earthy Arabella, who later abandons him. Moving to the town of Christminster where he finds work as a stonemason, Jude meets and falls in love with his cousin Sue Bridehead, a sensitive, freethinking 'New Woman'.","Fiction, Classics, Literature, 19th Century, Victorian, Novels, British Literature",1
"Nikol, Hasler",Sex: An Uncensored Introduction,"Thinking about having sex? Or just thinking about sex, period? Well, that’s certainly a good place to start — because there’s a lot to think about, and a lot to learn. And Nikol Hasler is here to help. This honest, funny, and uncensored guide covers everything from sexual orientation and masturbation to foreplay, first-time concerns, birth control, and protection against diseases. New sections in this revised edition also address online dating, sex-related bullying, important new sex-related legislation, and sexting — a topic of particular interest and concern today. No subject is off-limits and no question is taboo in this hilarious, in-depth, all-in-one guide.  Be forewarned: this is a revised edition of our previous publication, !","Nonfiction, Health",1
"Anne, Rice",Taltos,"Rice's new novel continues the epic occult saga that began with The Witching Hour and Lasher. Taltos takes readers back through the centuries to a civilization part human and part of wholly mysterious origins, at odds with mortality and immortality, justice and guilt. ","Horror, Fantasy, Fiction, Paranormal, Witches, Supernatural, Urban Fantasy",1
